fitness,algorithm,N,best_fitness,time,random_state,max_iters
OneMax,random_hill_climb,10,10.0,0.0015690326690673828,0,500.0
OneMax,random_hill_climb,10,9.0,0.0007569789886474609,1,500.0
OneMax,random_hill_climb,10,10.0,0.0015523433685302734,2,500.0
OneMax,simulated_annealing,10,10.0,0.004904747009277344,0,500.0
OneMax,simulated_annealing,10,7.0,0.0043447017669677734,1,500.0
OneMax,simulated_annealing,10,9.0,0.0017440319061279297,2,500.0
OneMax,genetic_alg,10,10.0,0.08136510848999023,0,500.0
OneMax,genetic_alg,10,10.0,0.0579981803894043,1,500.0
OneMax,genetic_alg,10,10.0,0.04990196228027344,2,500.0
OneMax,mimic,10,10.0,0.014223814010620117,0,1.0
OneMax,mimic,10,10.0,0.013888120651245117,1,1.0
OneMax,mimic,10,9.0,0.013926982879638672,2,1.0
FlipFlop,random_hill_climb,10,7.0,8.511543273925781e-05,0,500.0
FlipFlop,random_hill_climb,10,8.0,0.00010013580322265625,1,500.0
FlipFlop,random_hill_climb,10,7.0,5.602836608886719e-05,2,500.0
FlipFlop,simulated_annealing,10,9.0,0.0012619495391845703,0,500.0
FlipFlop,simulated_annealing,10,9.0,0.0009138584136962891,1,500.0
FlipFlop,simulated_annealing,10,9.0,0.0012660026550292969,2,500.0
FlipFlop,genetic_alg,10,9.0,0.051425933837890625,0,500.0
FlipFlop,genetic_alg,10,9.0,0.05106616020202637,1,500.0
FlipFlop,genetic_alg,10,9.0,0.04665493965148926,2,500.0
FlipFlop,mimic,10,9.0,0.013596057891845703,0,1.0
FlipFlop,mimic,10,8.0,0.013262033462524414,1,1.0
FlipFlop,mimic,10,9.0,0.013243913650512695,2,1.0
FourPeaks,random_hill_climb,10,4.0,9.608268737792969e-05,0,500.0
FourPeaks,random_hill_climb,10,3.0,7.605552673339844e-05,1,500.0
FourPeaks,random_hill_climb,10,0.0,4.601478576660156e-05,2,500.0
FourPeaks,simulated_annealing,10,18.0,0.0004379749298095703,0,500.0
FourPeaks,simulated_annealing,10,16.0,0.0001800060272216797,1,500.0
FourPeaks,simulated_annealing,10,10.0,0.0003018379211425781,2,500.0
FourPeaks,genetic_alg,10,18.0,0.04683327674865723,0,500.0
FourPeaks,genetic_alg,10,18.0,0.046511173248291016,1,500.0
FourPeaks,genetic_alg,10,18.0,0.04775810241699219,2,500.0
FourPeaks,mimic,10,18.0,0.01345205307006836,0,1.0
FourPeaks,mimic,10,18.0,0.01333475112915039,1,1.0
FourPeaks,mimic,10,18.0,0.013228893280029297,2,1.0
OneMax,random_hill_climb,20,16.0,0.0002529621124267578,0,500.0
OneMax,random_hill_climb,20,14.0,0.00011706352233886719,1,500.0
OneMax,random_hill_climb,20,17.0,0.00011992454528808594,2,500.0
OneMax,simulated_annealing,20,19.0,0.0004379749298095703,0,500.0
OneMax,simulated_annealing,20,19.0,0.0010228157043457031,1,500.0
OneMax,simulated_annealing,20,15.0,0.0004260540008544922,2,500.0
OneMax,genetic_alg,20,18.0,0.08472394943237305,0,500.0
OneMax,genetic_alg,20,19.0,0.10256481170654297,1,500.0
OneMax,genetic_alg,20,18.0,0.09365582466125488,2,500.0
OneMax,mimic,20,17.0,0.04930996894836426,0,1.0
OneMax,mimic,20,17.0,0.04887580871582031,1,1.0
OneMax,mimic,20,18.0,0.049485206604003906,2,1.0
FlipFlop,random_hill_climb,20,16.0,0.00015163421630859375,0,500.0
FlipFlop,random_hill_climb,20,15.0,0.0001780986785888672,1,500.0
FlipFlop,random_hill_climb,20,17.0,0.00021123886108398438,2,500.0
FlipFlop,simulated_annealing,20,16.0,0.0014851093292236328,0,500.0
FlipFlop,simulated_annealing,20,18.0,0.001415252685546875,1,500.0
FlipFlop,simulated_annealing,20,17.0,0.0008120536804199219,2,500.0
FlipFlop,genetic_alg,20,18.0,0.10748696327209473,0,500.0
FlipFlop,genetic_alg,20,17.0,0.05640006065368652,1,500.0
FlipFlop,genetic_alg,20,18.0,0.09469199180603027,2,500.0
FlipFlop,mimic,20,15.0,0.050112009048461914,0,1.0
FlipFlop,mimic,20,17.0,0.04982781410217285,1,1.0
FlipFlop,mimic,20,17.0,0.0500187873840332,2,1.0
FourPeaks,random_hill_climb,20,4.0,0.00015306472778320312,0,500.0
FourPeaks,random_hill_climb,20,5.0,0.00021219253540039062,1,500.0
FourPeaks,random_hill_climb,20,2.0,5.1975250244140625e-05,2,500.0
FourPeaks,simulated_annealing,20,31.0,0.0007939338684082031,0,500.0
FourPeaks,simulated_annealing,20,28.0,0.0012040138244628906,1,500.0
FourPeaks,simulated_annealing,20,35.0,0.0015118122100830078,2,500.0
FourPeaks,genetic_alg,20,37.0,0.06358885765075684,0,500.0
FourPeaks,genetic_alg,20,37.0,0.10934901237487793,1,500.0
FourPeaks,genetic_alg,20,35.0,0.08231592178344727,2,500.0
FourPeaks,mimic,20,29.0,0.048911094665527344,0,1.0
FourPeaks,mimic,20,27.0,0.04874396324157715,1,1.0
FourPeaks,mimic,20,31.0,0.048349857330322266,2,1.0
OneMax,random_hill_climb,30,22.0,0.0002579689025878906,0,500.0
OneMax,random_hill_climb,30,29.0,0.0003821849822998047,1,500.0
OneMax,random_hill_climb,30,27.0,0.00023102760314941406,2,500.0
OneMax,simulated_annealing,30,25.0,0.0009531974792480469,0,500.0
OneMax,simulated_annealing,30,25.0,0.0008289813995361328,1,500.0
OneMax,simulated_annealing,30,24.0,0.0005769729614257812,2,500.0
OneMax,genetic_alg,30,26.0,0.09511208534240723,0,500.0
OneMax,genetic_alg,30,25.0,0.09409117698669434,1,500.0
OneMax,genetic_alg,30,26.0,0.14107108116149902,2,500.0
OneMax,mimic,30,24.0,0.1112051010131836,0,1.0
OneMax,mimic,30,24.0,0.10974788665771484,1,1.0
OneMax,mimic,30,25.0,0.11099076271057129,2,1.0
FlipFlop,random_hill_climb,30,23.0,0.00020885467529296875,0,500.0
FlipFlop,random_hill_climb,30,18.0,0.00016498565673828125,1,500.0
FlipFlop,random_hill_climb,30,23.0,0.00021195411682128906,2,500.0
FlipFlop,simulated_annealing,30,27.0,0.0012552738189697266,0,500.0
FlipFlop,simulated_annealing,30,26.0,0.0009672641754150391,1,500.0
FlipFlop,simulated_annealing,30,25.0,0.0016140937805175781,2,500.0
FlipFlop,genetic_alg,30,25.0,0.06185412406921387,0,500.0
FlipFlop,genetic_alg,30,24.0,0.08604907989501953,1,500.0
FlipFlop,genetic_alg,30,24.0,0.09279704093933105,2,500.0
FlipFlop,mimic,30,22.0,0.11069107055664062,0,1.0
FlipFlop,mimic,30,23.0,0.10987114906311035,1,1.0
FlipFlop,mimic,30,24.0,0.10980796813964844,2,1.0
FourPeaks,random_hill_climb,30,4.0,9.083747863769531e-05,0,500.0
FourPeaks,random_hill_climb,30,2.0,5.1975250244140625e-05,1,500.0
FourPeaks,random_hill_climb,30,0.0,4.76837158203125e-05,2,500.0
FourPeaks,simulated_annealing,30,22.0,0.0027277469635009766,0,500.0
FourPeaks,simulated_annealing,30,18.0,0.0014262199401855469,1,500.0
FourPeaks,simulated_annealing,30,46.0,0.0012049674987792969,2,500.0
FourPeaks,genetic_alg,30,48.0,0.09643793106079102,0,500.0
FourPeaks,genetic_alg,30,48.0,0.08263182640075684,1,500.0
FourPeaks,genetic_alg,30,43.0,0.057634830474853516,2,500.0
FourPeaks,mimic,30,37.0,0.10847902297973633,0,1.0
FourPeaks,mimic,30,38.0,0.1088249683380127,1,1.0
FourPeaks,mimic,30,35.0,0.10780692100524902,2,1.0
OneMax,random_hill_climb,40,35.0,0.0003440380096435547,0,500.0
OneMax,random_hill_climb,40,36.0,0.0003540515899658203,1,500.0
OneMax,random_hill_climb,40,37.0,0.0004258155822753906,2,500.0
OneMax,simulated_annealing,40,34.0,0.0007331371307373047,0,500.0
OneMax,simulated_annealing,40,34.0,0.0010061264038085938,1,500.0
OneMax,simulated_annealing,40,36.0,0.0011489391326904297,2,500.0
OneMax,genetic_alg,40,31.0,0.09013986587524414,0,500.0
OneMax,genetic_alg,40,32.0,0.1093301773071289,1,500.0
OneMax,genetic_alg,40,32.0,0.06306099891662598,2,500.0
OneMax,mimic,40,33.0,0.19229912757873535,0,1.0
OneMax,mimic,40,30.0,0.1934211254119873,1,1.0
OneMax,mimic,40,31.0,0.1927039623260498,2,1.0
FlipFlop,random_hill_climb,40,32.0,0.000354766845703125,0,500.0
FlipFlop,random_hill_climb,40,29.0,0.00046181678771972656,1,500.0
FlipFlop,random_hill_climb,40,26.0,0.00019407272338867188,2,500.0
FlipFlop,simulated_annealing,40,36.0,0.0029740333557128906,0,500.0
FlipFlop,simulated_annealing,40,33.0,0.002866029739379883,1,500.0
FlipFlop,simulated_annealing,40,32.0,0.0028841495513916016,2,500.0
FlipFlop,genetic_alg,40,30.0,0.09569668769836426,0,500.0
FlipFlop,genetic_alg,40,31.0,0.1411762237548828,1,500.0
FlipFlop,genetic_alg,40,31.0,0.1168971061706543,2,500.0
FlipFlop,mimic,40,29.0,0.19744515419006348,0,1.0
FlipFlop,mimic,40,29.0,0.1941518783569336,1,1.0
FlipFlop,mimic,40,29.0,0.19590306282043457,2,1.0
FourPeaks,random_hill_climb,40,3.0,6.29425048828125e-05,0,500.0
FourPeaks,random_hill_climb,40,3.0,5.602836608886719e-05,1,500.0
FourPeaks,random_hill_climb,40,1.0,4.9114227294921875e-05,2,500.0
FourPeaks,simulated_annealing,40,59.0,0.0014219284057617188,0,500.0
FourPeaks,simulated_annealing,40,64.0,0.0035338401794433594,1,500.0
FourPeaks,simulated_annealing,40,22.0,0.0040781497955322266,2,500.0
FourPeaks,genetic_alg,40,54.0,0.06885004043579102,0,500.0
FourPeaks,genetic_alg,40,54.0,0.07775092124938965,1,500.0
FourPeaks,genetic_alg,40,56.0,0.13607406616210938,2,500.0
FourPeaks,mimic,40,49.0,0.19517803192138672,0,1.0
FourPeaks,mimic,40,47.0,0.19319391250610352,1,1.0
FourPeaks,mimic,40,9.0,0.19282984733581543,2,1.0
OneMax,random_hill_climb,50,42.0,0.0005099773406982422,0,500.0
OneMax,random_hill_climb,50,46.0,0.00043487548828125,1,500.0
OneMax,random_hill_climb,50,43.0,0.000431060791015625,2,500.0
OneMax,simulated_annealing,50,44.0,0.0010139942169189453,0,500.0
OneMax,simulated_annealing,50,46.0,0.0007960796356201172,1,500.0
OneMax,simulated_annealing,50,41.0,0.0011262893676757812,2,500.0
OneMax,genetic_alg,50,36.0,0.05847907066345215,0,500.0
OneMax,genetic_alg,50,39.0,0.09887313842773438,1,500.0
OneMax,genetic_alg,50,38.0,0.06937289237976074,2,500.0
OneMax,mimic,50,40.0,0.30216407775878906,0,1.0
OneMax,mimic,50,39.0,0.2998669147491455,1,1.0
OneMax,mimic,50,39.0,0.30130791664123535,2,1.0
FlipFlop,random_hill_climb,50,35.0,0.0003681182861328125,0,500.0
FlipFlop,random_hill_climb,50,27.0,0.00020194053649902344,1,500.0
FlipFlop,random_hill_climb,50,33.0,0.0003311634063720703,2,500.0
FlipFlop,simulated_annealing,50,39.0,0.0024712085723876953,0,500.0
FlipFlop,simulated_annealing,50,39.0,0.0021467208862304688,1,500.0
FlipFlop,simulated_annealing,50,47.0,0.004518032073974609,2,500.0
FlipFlop,genetic_alg,50,39.0,0.16821885108947754,0,500.0
FlipFlop,genetic_alg,50,36.0,0.08606696128845215,1,500.0
FlipFlop,genetic_alg,50,38.0,0.07136201858520508,2,500.0
FlipFlop,mimic,50,36.0,0.29897069931030273,0,1.0
FlipFlop,mimic,50,35.0,0.2998321056365967,1,1.0
FlipFlop,mimic,50,35.0,0.3030211925506592,2,1.0
FourPeaks,random_hill_climb,50,3.0,6.079673767089844e-05,0,500.0
FourPeaks,random_hill_climb,50,2.0,5.412101745605469e-05,1,500.0
FourPeaks,random_hill_climb,50,5.0,0.00011396408081054688,2,500.0
FourPeaks,simulated_annealing,50,6.0,0.0040569305419921875,0,500.0
FourPeaks,simulated_annealing,50,15.0,0.00453495979309082,1,500.0
