fitness,algorithm,N,best_fitness,time,random_state,max_iters
FlipFlop,random_hill_climb,10,8.0,9.322166442871094e-05,1,1000.0
FlipFlop,random_hill_climb,10,7.0,5.316734313964844e-05,2,50.0
FlipFlop,random_hill_climb,10,7.0,5.1975250244140625e-05,2,500.0
FlipFlop,random_hill_climb,10,7.0,5.3882598876953125e-05,2,1000.0
FlipFlop,random_hill_climb,10,7.0,8.392333984375e-05,3,50.0
FlipFlop,random_hill_climb,10,7.0,8.296966552734375e-05,3,500.0
FlipFlop,random_hill_climb,10,7.0,8.416175842285156e-05,3,1000.0
FlipFlop,simulated_annealing,10,8.0,0.0003781318664550781,0,50.0
FlipFlop,simulated_annealing,10,9.0,0.00022292137145996094,0,500.0
FlipFlop,simulated_annealing,10,9.0,0.0002999305725097656,0,1000.0
FlipFlop,simulated_annealing,10,5.0,0.0003592967987060547,1,50.0
FlipFlop,simulated_annealing,10,9.0,0.000881195068359375,1,500.0
FlipFlop,simulated_annealing,10,9.0,0.0008559226989746094,1,1000.0
FlipFlop,simulated_annealing,10,7.0,0.00037217140197753906,2,50.0
FlipFlop,simulated_annealing,10,9.0,0.0012669563293457031,2,500.0
FlipFlop,simulated_annealing,10,9.0,0.0012569427490234375,2,1000.0
FlipFlop,simulated_annealing,10,9.0,0.00035500526428222656,3,50.0
FlipFlop,simulated_annealing,10,9.0,0.0002372264862060547,3,500.0
FlipFlop,simulated_annealing,10,9.0,0.00023508071899414062,3,1000.0
FlipFlop,genetic_alg,10,9.0,0.04714012145996094,0,50.0
FlipFlop,genetic_alg,10,9.0,0.047033071517944336,0,500.0
FlipFlop,genetic_alg,10,9.0,0.05119800567626953,0,1000.0
FlipFlop,genetic_alg,10,9.0,0.051078081130981445,1,50.0
FlipFlop,genetic_alg,10,9.0,0.05335497856140137,1,500.0
FlipFlop,genetic_alg,10,9.0,0.05106210708618164,1,1000.0
FlipFlop,genetic_alg,10,9.0,0.0486910343170166,2,50.0
FlipFlop,genetic_alg,10,9.0,0.04726123809814453,2,500.0
FlipFlop,genetic_alg,10,9.0,0.04805922508239746,2,1000.0
FlipFlop,genetic_alg,10,9.0,0.04674887657165527,3,50.0
FlipFlop,genetic_alg,10,9.0,0.04671812057495117,3,500.0
FlipFlop,genetic_alg,10,9.0,0.04676198959350586,3,1000.0
FlipFlop,mimic,10,9.0,0.06895995140075684,0,5.0
FlipFlop,mimic,10,9.0,0.15038108825683594,0,50.0
FlipFlop,mimic,10,9.0,0.14833903312683105,0,100.0
FlipFlop,mimic,10,9.0,0.06651186943054199,1,5.0
FlipFlop,mimic,10,9.0,0.1612718105316162,1,50.0
FlipFlop,mimic,10,9.0,0.16156291961669922,1,100.0
FlipFlop,mimic,10,9.0,0.06913995742797852,2,5.0
FlipFlop,mimic,10,9.0,0.15088510513305664,2,50.0
FlipFlop,mimic,10,9.0,0.15113592147827148,2,100.0
FlipFlop,mimic,10,9.0,0.06823277473449707,3,5.0
FlipFlop,mimic,10,9.0,0.150285005569458,3,50.0
FlipFlop,mimic,10,9.0,0.150665283203125,3,100.0
FourPeaks,random_hill_climb,10,18.0,0.0001747608184814453,0,50.0
FourPeaks,random_hill_climb,10,10.0,0.00013899803161621094,0,500.0
FourPeaks,random_hill_climb,10,10.0,7.295608520507812e-05,0,1000.0
