fitness,algorithm,N,best_fitness,time,random_state,max_iters
OneMax,random_hill_climb,10,10.0,0.0015330314636230469,0,100
OneMax,random_hill_climb,10,9.0,0.0007469654083251953,1,100
OneMax,simulated_annealing,10,8.0,0.0023767948150634766,0,100
OneMax,simulated_annealing,10,7.0,0.00402522087097168,1,100
OneMax,genetic_alg,10,10.0,0.10157632827758789,0,100
OneMax,genetic_alg,10,10.0,0.05906200408935547,1,100
OneMax,mimic,10,10.0,0.15411114692687988,0,100
OneMax,mimic,10,10.0,0.13919305801391602,1,100
FlipFlop,random_hill_climb,10,7.0,6.985664367675781e-05,0,100
FlipFlop,random_hill_climb,10,8.0,8.988380432128906e-05,1,100
FlipFlop,simulated_annealing,10,8.0,0.0007078647613525391,0,100
FlipFlop,simulated_annealing,10,7.0,0.0007050037384033203,1,100
FlipFlop,genetic_alg,10,9.0,0.05199432373046875,0,100
FlipFlop,genetic_alg,10,9.0,0.05121183395385742,1,100
FlipFlop,mimic,10,9.0,0.15203475952148438,0,100
FlipFlop,mimic,10,9.0,0.16267013549804688,1,100
FourPeaks,random_hill_climb,10,1.0,5.91278076171875e-05,0,100
FourPeaks,random_hill_climb,10,3.0,8.0108642578125e-05,1,100
FourPeaks,simulated_annealing,10,17.0,0.0003731250762939453,0,100
FourPeaks,simulated_annealing,10,16.0,0.00018715858459472656,1,100
FourPeaks,genetic_alg,10,18.0,0.04800009727478027,0,100
FourPeaks,genetic_alg,10,18.0,0.04770493507385254,1,100
FourPeaks,mimic,10,18.0,0.1407158374786377,0,100
FourPeaks,mimic,10,18.0,0.14170479774475098,1,100
OneMax,random_hill_climb,20,18.0,0.0002491474151611328,0,100
OneMax,random_hill_climb,20,14.0,0.00011992454528808594,1,100
OneMax,simulated_annealing,20,18.0,0.0002720355987548828,0,100
OneMax,simulated_annealing,20,18.0,0.0008308887481689453,1,100
OneMax,genetic_alg,20,18.0,0.06615996360778809,0,100
OneMax,genetic_alg,20,19.0,0.1027679443359375,1,100
OneMax,mimic,20,20.0,0.6888041496276855,0,100
OneMax,mimic,20,20.0,0.5853581428527832,1,100
FlipFlop,random_hill_climb,20,12.0,8.106231689453125e-05,0,100
FlipFlop,random_hill_climb,20,15.0,0.00018310546875,1,100
FlipFlop,simulated_annealing,20,17.0,0.00084686279296875,0,100
FlipFlop,simulated_annealing,20,16.0,0.0008342266082763672,1,100
FlipFlop,genetic_alg,20,18.0,0.1120152473449707,0,100
FlipFlop,genetic_alg,20,17.0,0.05708169937133789,1,100
FlipFlop,mimic,20,19.0,0.691810131072998,0,100
FlipFlop,mimic,20,19.0,0.6939818859100342,1,100
FourPeaks,random_hill_climb,20,1.0,8.511543273925781e-05,0,100
FourPeaks,random_hill_climb,20,5.0,0.00010704994201660156,1,100
FourPeaks,simulated_annealing,20,26.0,0.0008623600006103516,0,100
FourPeaks,simulated_annealing,20,28.0,0.0008189678192138672,1,100
FourPeaks,genetic_alg,20,36.0,0.051506996154785156,0,100
FourPeaks,genetic_alg,20,37.0,0.11392784118652344,1,100
FourPeaks,mimic,20,37.0,1.2806520462036133,0,100
FourPeaks,mimic,20,34.0,0.5986440181732178,1,100
