fitness,algorithm,N,best_fitness,time,random_state,max_iters
OneMax,random_hill_climb,60,47.0,0.00045490264892578125,0,inf
OneMax,simulated_annealing,60,53.0,0.0009691715240478516,0,inf
OneMax,genetic_alg,60,43.0,0.059715986251831055,0,inf
OneMax,mimic,60,60.0,4.4318318367004395,0,10.0
FlipFlop,random_hill_climb,60,36.0,0.00023508071899414062,0,inf
FlipFlop,simulated_annealing,60,52.0,0.003114938735961914,0,inf
FlipFlop,genetic_alg,60,43.0,0.12804198265075684,0,inf
FlipFlop,mimic,60,53.0,4.624957084655762,0,10.0
FourPeaks,random_hill_climb,60,4.0,7.987022399902344e-05,0,inf
FourPeaks,simulated_annealing,60,99.0,0.014168977737426758,0,inf
FourPeaks,genetic_alg,60,76.0,0.06918692588806152,0,inf
FourPeaks,mimic,60,87.0,4.578536748886108,0,10.0
OneMax,random_hill_climb,70,51.0,0.00043487548828125,0,inf
OneMax,simulated_annealing,70,64.0,0.001251220703125,0,inf
OneMax,genetic_alg,70,52.0,0.07860112190246582,0,inf
OneMax,mimic,70,70.0,6.045345067977905,0,10.0
FlipFlop,random_hill_climb,70,53.0,0.0007760524749755859,0,inf
FlipFlop,simulated_annealing,70,58.0,0.005903720855712891,0,inf
FlipFlop,genetic_alg,70,52.0,0.1303880214691162,0,inf
FlipFlop,mimic,70,59.0,6.222774028778076,0,10.0
FourPeaks,random_hill_climb,70,0.0,7.200241088867188e-05,0,inf
FourPeaks,simulated_annealing,70,41.0,0.0159759521484375,0,inf
FourPeaks,genetic_alg,70,86.0,0.17333197593688965,0,inf
FourPeaks,mimic,70,91.0,6.222291946411133,0,10.0
OneMax,random_hill_climb,80,69.0,0.0005209445953369141,0,inf
OneMax,simulated_annealing,80,69.0,0.0010602474212646484,0,inf
OneMax,genetic_alg,80,56.0,0.09845590591430664,0,inf
OneMax,mimic,80,80.0,7.9721479415893555,0,10.0
FlipFlop,random_hill_climb,80,35.0,0.0001678466796875,0,inf
FlipFlop,simulated_annealing,80,66.0,0.0035088062286376953,0,inf
FlipFlop,genetic_alg,80,57.0,0.11754298210144043,0,inf
FlipFlop,mimic,80,67.0,8.294525861740112,0,10.0
FourPeaks,random_hill_climb,80,7.0,0.00011801719665527344,0,inf
FourPeaks,simulated_annealing,80,39.0,0.013914108276367188,0,inf
FourPeaks,genetic_alg,80,96.0,0.17921781539916992,0,inf
FourPeaks,mimic,80,93.0,8.277626991271973,0,10.0
