fitness,algorithm,input_size,number_of_iterations,best_fitness,time,random_state,max_iters
FlipFlop,simulated_annealing,50,62,38.0,0.0008487701416015625,0,inf
FlipFlop,genetic_alg,50,31,38.0,0.18621277809143066,0,inf
FlipFlop,mimic,50,18,46.0,5.740546941757202,0,20.0
FourPeaks,random_hill_climb,50,23,5.0,0.0001289844512939453,0,inf
FourPeaks,simulated_annealing,50,832,39.0,0.00700068473815918,0,inf
FourPeaks,genetic_alg,50,19,67.0,0.09689807891845703,0,inf
FourPeaks,mimic,50,20,73.0,6.260581970214844,0,20.0
SixPeaks,random_hill_climb,50,10,0.0,7.104873657226562e-05,0,inf
SixPeaks,simulated_annealing,50,676,35.0,0.0061511993408203125,0,inf
SixPeaks,genetic_alg,50,22,73.0,0.11313700675964355,0,inf
SixPeaks,mimic,50,18,67.0,5.73832893371582,0,20.0
ContinuousPeaks,random_hill_climb,50,34,64.0,0.0004730224609375,0,inf
ContinuousPeaks,simulated_annealing,50,195,79.0,0.0034117698669433594,0,inf
ContinuousPeaks,genetic_alg,50,21,68.0,0.13502216339111328,0,inf
ContinuousPeaks,mimic,50,20,67.0,6.303362846374512,0,20.0
OneMax,random_hill_climb,60,69,50.0,0.0005390644073486328,0,inf
OneMax,simulated_annealing,60,134,55.0,0.0012691020965576172,0,inf
OneMax,genetic_alg,60,27,44.0,0.14624929428100586,0,inf
OneMax,mimic,60,18,60.0,7.98538613319397,0,20.0
FlipFlop,random_hill_climb,60,40,42.0,0.00051116943359375,0,inf
FlipFlop,simulated_annealing,60,211,51.0,0.0031480789184570312,0,inf
FlipFlop,genetic_alg,60,12,42.0,0.07826089859008789,0,inf
FlipFlop,mimic,60,20,53.0,9.09954285621643,0,20.0
FourPeaks,random_hill_climb,60,10,1.0,6.67572021484375e-05,0,inf
FourPeaks,simulated_annealing,60,848,87.0,0.0076220035552978516,0,inf
FourPeaks,genetic_alg,60,13,79.0,0.06920695304870605,0,inf
FourPeaks,mimic,60,20,81.0,9.204941987991333,0,20.0
SixPeaks,random_hill_climb,60,12,4.0,8.893013000488281e-05,0,inf
SixPeaks,simulated_annealing,60,709,36.0,0.00757598876953125,0,inf
SixPeaks,genetic_alg,60,22,74.0,0.11650204658508301,0,inf
SixPeaks,mimic,60,20,92.0,8.988245010375977,0,20.0
ContinuousPeaks,random_hill_climb,60,10,8.0,0.00015687942504882812,0,inf
ContinuousPeaks,simulated_annealing,60,881,93.0,0.016434907913208008,0,inf
ContinuousPeaks,genetic_alg,60,15,77.0,0.10409998893737793,0,inf
ContinuousPeaks,mimic,60,20,90.0,9.159977912902832,0,20.0
OneMax,random_hill_climb,70,100,66.0,0.0007176399230957031,0,inf
OneMax,simulated_annealing,70,118,56.0,0.0010900497436523438,0,inf
OneMax,genetic_alg,70,25,52.0,0.14114689826965332,0,inf
OneMax,mimic,70,18,70.0,10.96845006942749,0,20.0
FlipFlop,random_hill_climb,70,12,47.0,0.000186920166015625,0,inf
FlipFlop,simulated_annealing,70,232,65.0,0.004036903381347656,0,inf
FlipFlop,genetic_alg,70,16,49.0,0.11042094230651855,0,inf
FlipFlop,mimic,70,18,63.0,11.099693059921265,0,20.0
FourPeaks,random_hill_climb,70,10,2.0,7.104873657226562e-05,0,inf
FourPeaks,simulated_annealing,70,1002,48.0,0.011543989181518555,0,inf
FourPeaks,genetic_alg,70,18,89.0,0.12252616882324219,0,inf
FourPeaks,mimic,70,17,83.0,10.854199886322021,0,20.0
SixPeaks,random_hill_climb,70,10,3.0,7.557868957519531e-05,0,inf
SixPeaks,simulated_annealing,70,1273,105.0,0.012738943099975586,0,inf
SixPeaks,genetic_alg,70,28,90.0,0.15420317649841309,0,inf
SixPeaks,mimic,70,20,38.0,12.37080192565918,0,20.0
ContinuousPeaks,random_hill_climb,70,19,11.0,0.0003190040588378906,0,inf
ContinuousPeaks,simulated_annealing,70,550,109.0,0.011508941650390625,0,inf
ContinuousPeaks,genetic_alg,70,26,89.0,0.1913008689880371,0,inf
ContinuousPeaks,mimic,70,20,101.0,13.131700038909912,0,20.0
OneMax,random_hill_climb,80,71,64.0,0.0005309581756591797,0,inf
OneMax,simulated_annealing,80,147,71.0,0.0013279914855957031,0,inf
OneMax,genetic_alg,80,11,57.0,0.06505799293518066,0,inf
OneMax,mimic,80,17,80.0,13.388784170150757,0,20.0
FlipFlop,random_hill_climb,80,36,52.0,0.0005667209625244141,0,inf
FlipFlop,simulated_annealing,80,268,68.0,0.00510096549987793,0,inf
FlipFlop,genetic_alg,80,21,58.0,0.15445208549499512,0,inf
FlipFlop,mimic,80,19,68.0,15.124186992645264,0,20.0
FourPeaks,random_hill_climb,80,10,1.0,6.580352783203125e-05,0,inf
FourPeaks,simulated_annealing,80,2440,44.0,0.02137279510498047,0,inf
FourPeaks,genetic_alg,80,26,96.0,0.14786934852600098,0,inf
FourPeaks,mimic,80,17,93.0,13.619514226913452,0,20.0
SixPeaks,random_hill_climb,80,10,5.0,7.605552673339844e-05,0,inf
SixPeaks,simulated_annealing,80,1549,50.0,0.01566314697265625,0,inf
SixPeaks,genetic_alg,80,25,96.0,0.1421799659729004,0,inf
SixPeaks,mimic,80,20,98.0,16.71163296699524,0,20.0
ContinuousPeaks,random_hill_climb,80,10,6.0,0.000186920166015625,0,inf
ContinuousPeaks,simulated_annealing,80,909,124.0,0.021951913833618164,0,inf
ContinuousPeaks,genetic_alg,80,18,100.0,0.14119982719421387,0,inf
ContinuousPeaks,mimic,80,17,104.0,13.870702743530273,0,20.0
