fitness,algorithm,input_size,number_of_iterations,best_fitness,time,random_state,max_iters
OneMax,random_hill_climb,10,30,10.0,0.001567840576171875,0,inf
OneMax,simulated_annealing,10,59,8.0,0.003312826156616211,0,inf
OneMax,genetic_alg,10,13,10.0,0.09451580047607422,0,inf
OneMax,mimic,10,11,10.0,0.13843989372253418,0,20.0
FlipFlop,random_hill_climb,10,14,5.0,8.511543273925781e-05,0,inf
FlipFlop,simulated_annealing,10,78,9.0,0.0005209445953369141,0,inf
FlipFlop,genetic_alg,10,14,9.0,0.05895400047302246,0,inf
FlipFlop,mimic,10,11,9.0,0.14864611625671387,0,20.0
FourPeaks,random_hill_climb,10,10,1.0,6.508827209472656e-05,0,inf
FourPeaks,simulated_annealing,10,31,17.0,0.00022292137145996094,0,inf
FourPeaks,genetic_alg,10,11,18.0,0.04735302925109863,0,inf
FourPeaks,mimic,10,11,18.0,0.13422012329101562,0,20.0
SixPeaks,random_hill_climb,10,11,13.0,7.510185241699219e-05,0,inf
SixPeaks,simulated_annealing,10,41,9.0,0.00031280517578125,0,inf
SixPeaks,genetic_alg,10,11,18.0,0.050694942474365234,0,inf
SixPeaks,mimic,10,11,18.0,0.14788198471069336,0,20.0
ContinuousPeaks,random_hill_climb,10,13,17.0,0.00010228157043457031,0,inf
ContinuousPeaks,simulated_annealing,10,38,15.0,0.00035881996154785156,0,inf
ContinuousPeaks,genetic_alg,10,11,18.0,0.049836158752441406,0,inf
ContinuousPeaks,mimic,10,11,18.0,0.1503748893737793,0,20.0
OneMax,random_hill_climb,20,31,19.0,0.0002770423889160156,0,inf
OneMax,simulated_annealing,20,106,19.0,0.0011022090911865234,0,inf
OneMax,genetic_alg,20,18,19.0,0.08361601829528809,0,inf
OneMax,mimic,20,13,20.0,0.623927116394043,0,20.0
FlipFlop,random_hill_climb,20,31,15.0,0.00020003318786621094,0,inf
FlipFlop,simulated_annealing,20,78,16.0,0.0006659030914306641,0,inf
FlipFlop,genetic_alg,20,12,17.0,0.05563497543334961,0,inf
FlipFlop,mimic,20,14,19.0,0.7359988689422607,0,20.0
FourPeaks,random_hill_climb,20,10,2.0,6.389617919921875e-05,0,inf
FourPeaks,simulated_annealing,20,160,20.0,0.0012853145599365234,0,inf
FourPeaks,genetic_alg,20,12,33.0,0.0540769100189209,0,inf
FourPeaks,mimic,20,13,34.0,0.6336710453033447,0,20.0
SixPeaks,random_hill_climb,20,33,23.0,0.00018310546875,0,inf
SixPeaks,simulated_annealing,20,169,37.0,0.0014400482177734375,0,inf
SixPeaks,genetic_alg,20,27,36.0,0.12163901329040527,0,inf
SixPeaks,mimic,20,14,34.0,0.6720590591430664,0,20.0
ContinuousPeaks,random_hill_climb,20,44,37.0,0.0003619194030761719,0,inf
ContinuousPeaks,simulated_annealing,20,215,34.0,0.0022678375244140625,0,inf
ContinuousPeaks,genetic_alg,20,18,33.0,0.08904314041137695,0,inf
ContinuousPeaks,mimic,20,12,34.0,0.6189320087432861,0,20.0
OneMax,random_hill_climb,30,41,26.0,0.00034880638122558594,0,inf
OneMax,simulated_annealing,30,41,25.0,0.00039887428283691406,0,inf
OneMax,genetic_alg,30,19,25.0,0.09301090240478516,0,inf
OneMax,mimic,30,15,30.0,1.6283190250396729,0,20.0
FlipFlop,random_hill_climb,30,16,16.0,0.00014591217041015625,0,inf
FlipFlop,simulated_annealing,30,136,22.0,0.001401662826538086,0,inf
FlipFlop,genetic_alg,30,19,24.0,0.0958547592163086,0,inf
FlipFlop,mimic,30,13,27.0,1.4849417209625244,0,20.0
FourPeaks,random_hill_climb,30,10,0.0,6.008148193359375e-05,0,inf
FourPeaks,simulated_annealing,30,146,45.0,0.0011518001556396484,0,inf
FourPeaks,genetic_alg,30,12,44.0,0.055787086486816406,0,inf
FourPeaks,mimic,30,20,56.0,2.148599147796631,0,20.0
SixPeaks,random_hill_climb,30,10,3.0,7.200241088867188e-05,0,inf
SixPeaks,simulated_annealing,30,257,49.0,0.0023021697998046875,0,inf
SixPeaks,genetic_alg,30,20,46.0,0.09362983703613281,0,inf
SixPeaks,mimic,30,20,54.0,2.149949073791504,0,20.0
ContinuousPeaks,random_hill_climb,30,20,39.0,0.0002067089080810547,0,inf
ContinuousPeaks,simulated_annealing,30,199,48.0,0.0024938583374023438,0,inf
ContinuousPeaks,genetic_alg,30,19,46.0,0.10230302810668945,0,inf
ContinuousPeaks,mimic,30,15,50.0,1.6665611267089844,0,20.0
OneMax,random_hill_climb,40,67,38.0,0.0004901885986328125,0,inf
OneMax,simulated_annealing,40,72,33.0,0.0006799697875976562,0,inf
OneMax,genetic_alg,40,19,32.0,0.0950469970703125,0,inf
OneMax,mimic,40,15,40.0,2.9919910430908203,0,20.0
FlipFlop,random_hill_climb,40,36,34.0,0.0003399848937988281,0,inf
FlipFlop,simulated_annealing,40,112,34.0,0.001405954360961914,0,inf
FlipFlop,genetic_alg,40,16,31.0,0.09319686889648438,0,inf
FlipFlop,mimic,40,15,36.0,3.108069896697998,0,20.0
FourPeaks,random_hill_climb,40,10,0.0,6.29425048828125e-05,0,inf
FourPeaks,simulated_annealing,40,414,66.0,0.0032248497009277344,0,inf
FourPeaks,genetic_alg,40,33,55.0,0.15794610977172852,0,inf
FourPeaks,mimic,40,20,61.0,4.027037858963013,0,20.0
SixPeaks,random_hill_climb,40,10,0.0,7.176399230957031e-05,0,inf
SixPeaks,simulated_annealing,40,441,67.0,0.0038847923278808594,0,inf
SixPeaks,genetic_alg,40,24,57.0,0.11940503120422363,0,inf
SixPeaks,mimic,40,18,62.0,3.5686841011047363,0,20.0
ContinuousPeaks,random_hill_climb,40,10,49.0,0.00012683868408203125,0,inf
ContinuousPeaks,simulated_annealing,40,478,70.0,0.007412910461425781,0,inf
ContinuousPeaks,genetic_alg,40,15,56.0,0.09003710746765137,0,inf
ContinuousPeaks,mimic,40,20,69.0,3.8869922161102295,0,20.0
OneMax,random_hill_climb,50,52,38.0,0.0003879070281982422,0,inf
OneMax,simulated_annealing,50,89,44.0,0.0008072853088378906,0,inf
OneMax,genetic_alg,50,24,41.0,0.12597084045410156,0,inf
OneMax,mimic,50,17,50.0,5.180490016937256,0,20.0
FlipFlop,random_hill_climb,50,10,33.0,0.00011897087097167969,0,inf
